id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
20711,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-24 12:00:04"
20712,10,CleanFLEX-FB2000002008AC17,Low,15,"-33.91947, 151.257542","2021-10-24 12:00:04"
20713,95,CleanFLEX-FB2000002005AB67,"Half Full",59,"-33.920816, 151.257022","2021-10-24 12:00:04"
20714,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-24 12:00:04"
20715,95,CleanCUBE-A1807111808AA01,"Half Full",41,NULL,"2021-10-24 12:00:04"
20716,95,CleanCUBE-A1905081905AA26,Low,5,NULL,"2021-10-24 12:00:04"
20717,95,CleanFLEX-FB2000002005AB71,Low,23,"-33.922367, 151.256956","2021-10-24 12:00:04"
20718,95,CleanFLEX-FB2000002005AB70,Full,72,"-33.919555, 151.258164","2021-10-24 12:00:04"
20719,95,CleanFLEX-FB2000002005AB65,"Half Full",63,"-33.920944, 151.257001","2021-10-24 12:00:04"
20720,95,CleanFLEX-FB2000002005AB69,"Half Full",54,"-33.920227, 151.257692","2021-10-24 12:00:04"
20721,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-24 12:00:04"
20722,95,CleanFLEX-FB2000002005AB62,Low,21,"-33.91947, 151.257542","2021-10-24 12:00:04"
20723,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-24 12:00:04"
20724,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-24 12:00:04"
20725,95,CleanFLEX-FB2000002008AC08,"Half Full",42,"-33.919477, 151.257681","2021-10-24 12:00:04"
20726,10,CleanFLEX-FB2000002008AC14,"Half Full",46,"-33.920358, 151.257167","2021-10-24 12:00:04"
20727,10,CleanFLEX-FB2000002008AC15,Low,27,"-33.920358, 151.257167","2021-10-24 12:00:04"
20728,10,CleanFLEX-FB2000002008AC16,Low,10,"-33.919477, 151.257681","2021-10-24 12:00:04"
20729,95,CleanCUBE-A1808201809AA03,"Half Full",40,NULL,"2021-10-24 12:00:04"
20730,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-24 12:00:04"
20731,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-24 12:00:04"
20732,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-24 12:00:04"
20733,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-24 12:00:04"
20734,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-24 12:00:04"
20735,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-24 12:00:04"
20736,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-24 12:00:04"
20737,100,CleanCUBE-A1905081905AA09,Low,14,NULL,"2021-10-24 12:00:04"
20738,95,CleanCUBE-A1905081905AA13,Low,17,NULL,"2021-10-24 12:00:04"
20739,100,CleanCUBE-A1907221908AA73,Low,0,NULL,"2021-10-24 12:00:04"
20740,100,CleanCUBE-A1905081905AA19,Low,10,NULL,"2021-10-24 12:00:04"
20741,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-24 12:00:04"
20742,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-24 12:00:04"
20743,10,CleanFLEX-FB2000002008AC13,"Half Full",52,"-33.920034, 151.257165","2021-10-24 12:00:04"
20744,95,CleanFLEX-FB2000002005AB64,Full,77,"-33.920816, 151.257022","2021-10-24 12:00:04"
20745,10,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-24 12:00:04"
20746,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-24 12:00:04"
20747,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-24 12:00:04"
20748,95,CleanFLEX-FB2000002005AB66,"Half Full",35,"-33.920944, 151.257001","2021-10-24 12:00:04"
20749,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
20750,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
20751,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-24 13:00:04"
20752,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-24 13:00:04"
20753,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-24 13:00:04"
20754,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-24 13:00:04"
20755,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-24 13:00:04"
20756,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-24 13:00:04"
20757,95,CleanFLEX-FB2000002005AB67,"Half Full",59,"-33.920816, 151.257022","2021-10-24 13:00:04"
20758,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-24 13:00:04"
20759,95,CleanFLEX-FB2000002005AB63,Low,22,"-33.919505, 151.257857","2021-10-24 13:00:04"
20760,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-24 13:00:04"
20761,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-24 13:00:04"
20762,10,CleanFLEX-FB2000002008AC17,Low,15,"-33.91947, 151.257542","2021-10-24 13:00:04"
20763,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-24 13:00:04"
20764,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-24 13:00:04"
20765,95,CleanCUBE-A1807111808AA01,"Half Full",41,NULL,"2021-10-24 13:00:04"
20766,95,CleanCUBE-A1905081905AA26,Low,5,NULL,"2021-10-24 13:00:04"
20767,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-24 13:00:04"
20768,95,CleanFLEX-FB2000002008AC08,"Half Full",42,"-33.919477, 151.257681","2021-10-24 13:00:04"
20769,10,CleanFLEX-FB2000002008AC14,"Half Full",46,"-33.920358, 151.257167","2021-10-24 13:00:04"
20770,10,CleanFLEX-FB2000002008AC15,Low,27,"-33.920358, 151.257167","2021-10-24 13:00:04"
20771,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-24 13:00:04"
20772,95,CleanFLEX-FB2000002005AB65,"Half Full",63,"-33.920944, 151.257001","2021-10-24 13:00:04"
20773,95,CleanFLEX-FB2000002005AB69,"Half Full",54,"-33.920227, 151.257692","2021-10-24 13:00:04"
