id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
5202,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-11 11:00:04"
5203,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-11 11:00:04"
5204,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-11 11:00:04"
5205,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-11 11:00:04"
5206,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-11 11:00:04"
5207,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-11 11:00:04"
5208,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-11 11:00:04"
5209,100,CleanFLEX-FB2000002008AC17,Full,91,"-33.91947, 151.257542","2021-10-11 11:00:04"
5210,95,CleanFLEX-FB2000002005AB63,Low,10,"-33.919505, 151.257857","2021-10-11 11:00:04"
5211,95,CleanFLEX-FB2000002005AB67,Low,20,"-33.920816, 151.257022","2021-10-11 11:00:04"
5212,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-11 11:00:04"
5213,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-11 11:00:04"
5214,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-11 11:00:04"
5215,95,CleanCUBE-A1807111808AA01,Low,13,NULL,"2021-10-11 11:00:04"
5216,100,CleanFLEX-FB2000002008AC15,Low,17,"-33.920358, 151.257167","2021-10-11 11:00:04"
5217,95,CleanFLEX-FB2000002005AB69,"Half Full",32,"-33.920227, 151.257692","2021-10-11 11:00:04"
5218,35,CleanFLEX-FB2000002005AB62,"Half Full",31,"-33.91947, 151.257542","2021-10-11 11:00:04"
5219,95,CleanFLEX-FB2000002008AC16,Full,96,"-33.919477, 151.257681","2021-10-11 11:00:04"
5220,95,CleanFLEX-FB2000002005AB70,Low,23,"-33.919555, 151.258164","2021-10-11 11:00:04"
5221,100,CleanFLEX-FB2000002008AC14,Low,21,"-33.920358, 151.257167","2021-10-11 11:00:04"
5222,95,CleanFLEX-FB2000002005AB65,Low,15,"-33.920944, 151.257001","2021-10-11 11:00:04"
5223,95,CleanFLEX-FB2000002005AB71,Low,10,"-33.922367, 151.256956","2021-10-11 11:00:04"
5224,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-11 11:00:04"
5225,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-11 11:00:04"
5226,95,CleanFLEX-FB2000002008AC08,Low,17,"-33.919477, 151.257681","2021-10-11 11:00:04"
5227,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-11 11:00:04"
5228,95,CleanCUBE-A1905081905AA26,Low,9,NULL,"2021-10-11 11:00:04"
5229,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-11 11:00:04"
5230,100,CleanCUBE-A1907221908AA73,"Half Full",60,NULL,"2021-10-11 11:00:04"
5231,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-11 11:00:04"
5232,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-11 11:00:04"
5233,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-11 11:00:04"
5234,95,CleanCUBE-A1808201809AA03,Low,24,NULL,"2021-10-11 11:00:04"
5235,100,CleanCUBE-A1905081905AA09,Low,9,NULL,"2021-10-11 11:00:04"
5236,95,CleanCUBE-A1905081905AA13,Low,14,NULL,"2021-10-11 11:00:04"
5237,100,CleanCUBE-A1905081905AA19,Low,3,NULL,"2021-10-11 11:00:04"
5238,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-11 11:00:04"
5239,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-11 11:00:04"
5240,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-11 11:00:04"
5241,10,CleanFLEX-FB2000002008AC13,"Half Full",41,"-33.920034, 151.257165","2021-10-11 11:00:04"
5242,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-11 11:00:04"
5243,100,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-11 11:00:04"
5244,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-11 11:00:04"
5245,95,CleanFLEX-FB2000002005AB64,"Half Full",61,"-33.920816, 151.257022","2021-10-11 11:00:04"
5246,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-11 11:00:04"
5247,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-11 11:00:04"
5248,95,CleanFLEX-FB2000002005AB66,Low,14,"-33.920944, 151.257001","2021-10-11 11:00:04"
5249,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
5250,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
5251,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-11 12:00:05"
5252,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-11 12:00:05"
5253,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-11 12:00:05"
5254,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-11 12:00:05"
5255,100,CleanFLEX-FB2000002008AC17,Low,13,"-33.91947, 151.257542","2021-10-11 12:00:05"
5256,95,CleanFLEX-FB2000002005AB63,Low,10,"-33.919505, 151.257857","2021-10-11 12:00:05"
5257,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-11 12:00:05"
5258,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-11 12:00:05"
5259,95,CleanFLEX-FB2000002005AB67,Low,19,"-33.920816, 151.257022","2021-10-11 12:00:05"
5260,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-11 12:00:05"
5261,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-11 12:00:05"
